Algoritmo,n,Keygen_us,Keygen_ciclos,Sign_us,Sign_ciclos,Verify_us,Verify_ciclos
Falcon-1024,1024,13765,39843797,586,1696094,72,208683
Falcon-1024,1024,14808,42865509,571,1653261,75,218978
Falcon-1024,1024,19729,57107844,576,1668051,71,205813
Falcon-1024,1024,14269,41303627,574,1661061,72,207930
Falcon-1024,1024,25271,73150035,588,1702068,72,208887
Falcon-1024,1024,14293,41372357,574,1661468,72,206857
Falcon-1024,1024,14590,42232729,574,1659931,71,208133
Falcon-1024,1024,13613,39402097,571,1653812,72,206829
Falcon-1024,1024,13576,39297117,566,1639805,73,208945
Falcon-1024,1024,14289,41360612,567,1640240,72,207465
Falcon-1024,1024,37087,107352142,580,1676780,72,208162
Falcon-1024,1024,13090,37888210,564,1633279,73,212860
Falcon-1024,1024,20818,60257476,578,1673880,72,207988
Falcon-1024,1024,15987,46275822,570,1649056,71,207264
Falcon-1024,1024,13092,37895258,567,1640936,71,207844
Falcon-1024,1024,13579,39304889,564,1631482,72,208800
Falcon-1024,1024,21382,61891771,574,1661294,75,217152
Falcon-1024,1024,14471,41885715,583,1689250,72,207814
Falcon-1024,1024,15994,46295949,573,1658800,74,213730
Falcon-1024,1024,16669,48249649,565,1634265,71,207089
Falcon-1024,1024,16024,46384253,585,1691077,71,207118
Falcon-1024,1024,16002,46318771,613,1774859,76,219240
Falcon-1024,1024,13990,40493744,572,1657407,72,208481
Falcon-1024,1024,21671,62727000,576,1668862,72,207523
Falcon-1024,1024,13763,39836198,593,1716191,72,208627
Falcon-1024,1024,19446,56289290,569,1646504,78,225649
Falcon-1024,1024,14455,41842244,571,1652014,72,207785
Falcon-1024,1024,14817,42886853,565,1635948,72,208220
Falcon-1024,1024,13253,38361084,567,1641864,71,206509
Falcon-1024,1024,14103,40824460,567,1639921,72,208191
Falcon-1024,1024,13603,39374344,564,1631917,74,213324
Falcon-1024,1024,13264,38391882,562,1627944,74,213324
Falcon-1024,1024,13084,37873536,566,1637746,72,207670
Falcon-1024,1024,13448,38925134,565,1635832,73,213063
Falcon-1024,1024,15336,44392214,606,1754703,73,211207
Falcon-1024,1024,16933,49012929,575,1664600,72,209004
Falcon-1024,1024,15283,44238369,582,1684175,73,211526
Falcon-1024,1024,14622,42322948,585,1693513,75,217414
Falcon-1024,1024,27636,79994267,597,1726746,72,210192
Falcon-1024,1024,14462,41863182,571,1653173,71,206160
Falcon-1024,1024,13083,37868026,569,1648128,72,206683
Falcon-1024,1024,14771,42757774,572,1653840,72,208625
Falcon-1024,1024,17515,50699250,575,1664628,72,207466
Falcon-1024,1024,23022,66640057,580,1676373,71,207640
Falcon-1024,1024,13585,39321709,566,1640095,72,207988
Falcon-1024,1024,23023,66641623,568,1646098,72,206973
Falcon-1024,1024,13787,39907886,563,1629568,71,207466
Falcon-1024,1024,15348,44426260,606,1755312,72,208394
Falcon-1024,1024,13760,39829441,563,1629713,75,217442
Falcon-1024,1024,15278,44221143,569,1648824,72,206509
Falcon-1024,1024,13265,38399016,573,1657524,72,208074
Falcon-1024,1024,13613,39405200,572,1654218,71,207379
Falcon-1024,1024,16018,46365142,580,1679187,71,206451
Falcon-1024,1024,13769,39855686,598,1732141,73,210598
Falcon-1024,1024,18434,53359826,579,1674778,72,208626
Falcon-1024,1024,13441,38906430,565,1635455,73,211990
Falcon-1024,1024,13241,38327183,597,1730429,72,206886
Falcon-1024,1024,17187,49748833,572,1656653,72,207988
Falcon-1024,1024,13428,38868207,574,1663150,75,215412
Falcon-1024,1024,23021,66636085,568,1645112,72,207727
Falcon-1024,1024,14481,41917615,567,1640791,76,220429
Falcon-1024,1024,16891,48892898,568,1644010,73,209496
Falcon-1024,1024,17424,50435089,573,1658220,72,207524
Falcon-1024,1024,26118,75599810,597,1728980,71,208134
Falcon-1024,1024,17590,50915619,574,1660627,71,206451
Falcon-1024,1024,16314,47221570,570,1650651,74,213180
Falcon-1024,1024,14130,40901194,567,1641081,74,215208
Falcon-1024,1024,16778,48563922,579,1675388,71,207350
Falcon-1024,1024,13410,38817254,571,1652159,71,206625
Falcon-1024,1024,21157,61242200,579,1673764,72,208539
Falcon-1024,1024,15801,45739177,574,1660250,72,207379
Falcon-1024,1024,18147,52528599,564,1633541,72,208250
Falcon-1024,1024,13091,37890646,575,1665731,72,206944
Falcon-1024,1024,18692,54102690,573,1659264,71,206480
Falcon-1024,1024,17528,50737183,566,1638471,72,207610
Falcon-1024,1024,15826,45808951,591,1710275,72,208916
Falcon-1024,1024,22039,63794606,659,1906198,72,209090
Falcon-1024,1024,15730,45530754,642,1857856,74,216369
Falcon-1024,1024,20890,60467639,612,1770276,74,213700
Falcon-1024,1024,21247,61500329,655,1894251,74,216137
Falcon-1024,1024,18705,54144856,624,1807541,73,212164
Falcon-1024,1024,18861,54595748,620,1793824,77,221820
Falcon-1024,1024,24250,70194007,575,1663353,72,209583
Falcon-1024,1024,13424,38855795,605,1751310,107,308618
Falcon-1024,1024,13085,37876552,584,1690757,74,214688
Falcon-1024,1024,18274,52895449,575,1667036,72,207234
Falcon-1024,1024,14312,41429836,596,1726254,72,210425
Falcon-1024,1024,18045,52233205,567,1642821,74,213789
Falcon-1024,1024,14750,42694583,578,1671299,71,206335
Falcon-1024,1024,15649,45297159,571,1651028,71,207495
Falcon-1024,1024,14282,41338920,568,1645084,72,208162
Falcon-1024,1024,13089,37886238,567,1641747,72,207901
Falcon-1024,1024,14781,42784657,598,1731242,72,209641
Falcon-1024,1024,13092,37896098,573,1657234,75,217384
Falcon-1024,1024,13598,39359003,596,1726747,73,208975
Falcon-1024,1024,25144,72779937,578,1673300,72,209003
Falcon-1024,1024,14102,40821502,572,1654914,72,206799
Falcon-1024,1024,15304,44297036,575,1665644,72,207900
Falcon-1024,1024,19007,55016654,573,1658626,73,209612
Falcon-1024,1024,13088,37882178,563,1630293,74,214049
Falcon-1024,1024,14627,42339623,579,1677417,71,207002
Falcon-1024,1024,13760,39830544,570,1649027,72,208365
Falcon-1024,1024,26145,75680343,575,1664600,72,206654
Falcon-1024,1024,14985,43375909,572,1654333,75,217181
Falcon-1024,1024,13244,38336985,564,1632583,72,207321
Falcon-1024,1024,20502,59346673,610,1768710,72,208539
Falcon-1024,1024,26812,77606842,589,1705490,72,209816
Falcon-1024,1024,15821,45797728,571,1650970,74,216224
Falcon-1024,1024,13949,40375917,579,1677359,72,209061
Falcon-1024,1024,15299,44283696,577,1668255,72,208742
Falcon-1024,1024,16009,46337766,576,1666920,71,206886
Falcon-1024,1024,17190,49757011,599,1735041,73,210743
Falcon-1024,1024,17003,49214421,572,1657697,72,208278
Falcon-1024,1024,15324,44355239,580,1680579,71,205958
Falcon-1024,1024,14636,42364969,571,1653870,73,209757
Falcon-1024,1024,13583,39317011,610,1764766,72,208945
Falcon-1024,1024,13576,39298335,566,1638500,71,206393
Falcon-1024,1024,24330,70422382,627,1815052,75,219124
Falcon-1024,1024,16889,48885387,569,1648070,73,210134
Falcon-1024,1024,14449,41825888,570,1647983,72,210106
Falcon-1024,1024,38142,110403145,606,1755717,73,209815
Falcon-1024,1024,13428,38868816,576,1667065,73,209988
Falcon-1024,1024,19745,57153896,566,1638906,73,209525
Falcon-1024,1024,17793,51502521,578,1672227,71,206944
Falcon-1024,1024,18068,52299093,566,1638558,75,216021
Falcon-1024,1024,13981,40469094,564,1633657,75,218051
Falcon-1024,1024,14114,40854562,570,1649085,72,207640
Falcon-1024,1024,13440,38903181,583,1689134,72,208771
Falcon-1024,1024,17876,51742380,588,1702562,72,208539
Falcon-1024,1024,14079,40751119,575,1663933,72,207959
Falcon-1024,1024,14088,40778350,578,1674025,72,207756
Falcon-1024,1024,14789,42808408,563,1631568,72,207988
Falcon-1024,1024,22589,65384647,583,1686901,71,207090
Falcon-1024,1024,14903,43138805,565,1635223,72,207204
Falcon-1024,1024,13429,38871688,564,1631018,72,209351
Falcon-1024,1024,13259,38379296,571,1652072,71,205667
Falcon-1024,1024,20642,59749541,606,1754006,73,209844
Falcon-1024,1024,13798,39940888,569,1644996,71,207234
Falcon-1024,1024,13432,38880387,578,1675098,71,206914
Falcon-1024,1024,15458,44744187,573,1660569,72,207408
Falcon-1024,1024,15778,45670883,572,1655494,72,207031
Falcon-1024,1024,20501,59343512,574,1662512,72,208568
Falcon-1024,1024,13065,37819712,567,1640791,71,206161
Falcon-1024,1024,14446,41816405,570,1650186,72,206799
Falcon-1024,1024,13587,39328756,567,1641168,71,207611
Falcon-1024,1024,13956,40397957,572,1656219,72,206857
Falcon-1024,1024,14798,42834102,576,1666891,71,206740
Falcon-1024,1024,14845,42969706,635,1836048,72,208625
Falcon-1024,1024,15137,43813780,599,1736143,73,209669
Falcon-1024,1024,13257,38372974,605,1751049,73,210482
Falcon-1024,1024,13264,38393274,591,1710247,72,208858
Falcon-1024,1024,15368,44482027,627,1815400,76,219095
Falcon-1024,1024,13079,37855730,566,1639544,71,206219
Falcon-1024,1024,13925,40308347,617,1784312,74,215964
Falcon-1024,1024,13434,38884998,568,1644677,71,206538
Falcon-1024,1024,13975,40450853,575,1664687,72,207523
Falcon-1024,1024,13257,38374743,569,1646765,72,207147
Falcon-1024,1024,16011,46346727,569,1645981,71,206742
Falcon-1024,1024,16738,48450358,597,1726137,71,206567
Falcon-1024,1024,14653,42416212,580,1679390,72,208655
Falcon-1024,1024,13241,38326690,595,1721846,72,208510
Falcon-1024,1024,15820,45793233,567,1641487,74,214136
Falcon-1024,1024,14420,41740106,568,1644532,71,206509
Falcon-1024,1024,16294,47166151,603,1747279,72,208220
Falcon-1024,1024,14131,40905225,577,1669037,72,207438
Falcon-1024,1024,16858,48799257,571,1651230,71,206973
Falcon-1024,1024,33319,96441849,613,1775757,73,209554
Falcon-1024,1024,20416,59095243,578,1671299,71,206596
Falcon-1024,1024,15683,45393874,568,1644300,71,205841
Falcon-1024,1024,13963,40419011,569,1647403,71,207206
Falcon-1024,1024,19209,55599293,569,1648389,72,207263
Falcon-1024,1024,13615,39406998,601,1741566,72,207698
Falcon-1024,1024,14423,41748893,570,1647838,71,207668
Falcon-1024,1024,15629,45239739,576,1665905,71,205117
Falcon-1024,1024,16335,47283688,571,1651028,71,206189
Falcon-1024,1024,14598,42255900,577,1671792,72,206219
Falcon-1024,1024,15794,45717746,574,1661352,71,205958
Falcon-1024,1024,13612,39403605,567,1638791,71,207177
Falcon-1024,1024,18080,52334386,567,1639514,72,208162
Falcon-1024,1024,14659,42430364,601,1740724,72,207698
